,i,j,t
7497,3,146,454
7498,37,135,454
7499,18,123,454
7500,34,88,454
7501,121,203,454
7502,74,116,454
7503,114,268,454
7504,99,249,454
7505,112,191,454
7506,43,132,454
7507,115,181,454
7508,186,219,454
7509,102,106,455
7510,228,238,455
7511,3,146,455
7512,86,130,455
7513,64,104,455
7514,68,192,455
7515,2,264,455
7516,122,200,455
7517,60,267,455
7518,45,62,455
7519,40,274,455
7520,37,135,455
7521,43,132,455
7522,112,191,455
7523,114,268,455
7524,80,93,455
7525,20,220,455
7526,121,203,455
7527,31,116,455
7528,18,123,455
7529,37,91,455
7530,308,315,455
7531,313,314,455
7532,86,130,456
7533,77,267,456
7534,313,314,456
7535,43,132,456
7536,112,191,456
7537,34,88,456
7538,304,321,456
7539,40,274,456
7540,114,268,456
7541,95,225,456
7542,115,181,456
7543,3,146,456
7544,317,318,456
7545,65,190,456
7546,102,106,457
7547,114,268,457
7548,18,123,457
7549,102,112,457
7550,225,259,457
7551,77,267,457
7552,313,314,457
7553,37,135,457
7554,3,146,457
7555,228,238,457
7556,301,322,457
7557,86,130,457
7558,115,181,457
7559,40,274,457
7560,18,123,458
7561,228,238,458
7562,34,88,458
7563,301,322,458
7564,304,321,458
7565,3,146,458
7566,43,132,458
7567,60,267,458
7568,34,175,458
7569,114,268,458
7570,86,130,458
7571,37,135,458
7572,129,135,459
7573,115,181,459
7574,86,130,459
7575,301,322,459
7576,186,219,459
7577,43,132,459
7578,37,135,459
7579,95,225,459
7580,64,104,459
7581,31,116,459
7582,202,257,459
7583,304,321,459
7584,34,88,459
7585,115,181,460
7586,34,175,460
7587,34,88,460
7588,1,179,460
7589,313,314,460
7590,37,91,460
7591,121,203,460
7592,202,257,460
7593,114,268,460
7594,37,135,460
7595,86,130,460
7596,74,116,460
7597,186,219,461
7598,225,259,461
7599,60,267,461
7600,228,238,461
7601,43,132,461
7602,114,268,461
7603,18,123,461
7604,213,261,461
7605,317,318,461
7606,202,257,461
7607,37,135,461
7608,86,130,461
7609,86,130,462
7610,115,181,462
7611,186,219,462
7612,95,225,462
7613,313,314,462
7614,121,203,462
7615,31,116,462
7616,120,162,462
7617,37,91,462
7618,34,175,462
7619,65,190,462
7620,77,267,463
7621,18,123,463
7622,121,203,463
7623,1,179,463
7624,9,10,463
7625,3,146,463
7626,45,62,463
7627,106,112,463
7628,186,219,463
7629,202,257,463
7630,126,236,463
7631,313,314,463
7632,86,130,463
7633,65,190,463
7634,31,116,463
7635,115,181,463
7636,34,88,464
7637,304,309,464
7638,210,220,464
7639,45,79,464
7640,86,130,464
7641,65,190,464
7642,14,260,464
7643,206,207,464
7644,31,116,464
7645,202,257,464
7646,186,219,464
7647,313,314,464
7648,30,120,464
7649,1,276,464
7650,60,267,464
7651,126,236,464
7652,3,146,464
7653,308,315,465
7654,43,132,465
7655,86,130,465
7656,114,268,465
7657,172,181,465
7658,37,43,465
7659,34,88,465
7660,31,116,465
7661,186,219,465
7662,305,313,465
7663,37,91,465
7664,202,257,465
7665,3,92,465
7666,37,135,465
7667,210,220,465
7668,313,314,466
7669,304,309,466
7670,37,135,466
7671,136,212,466
7672,18,123,466
7673,86,130,466
7674,290,318,466
7675,28,36,466
7676,310,312,466
7677,114,268,466
7678,14,260,466
7679,43,132,466
7680,77,267,466
7681,68,192,466
7682,36,180,466
7683,212,219,466
7684,34,88,466
7685,117,239,466
7686,172,181,466
7687,210,220,466
7688,18,123,467
7689,28,36,467
7690,34,175,467
7691,117,239,467
7692,121,203,467
7693,186,219,467
7694,317,318,467
7695,31,116,467
7696,206,207,467
7697,14,260,467
7698,64,104,467
7699,317,318,468
7700,77,267,468
7701,14,260,468
7702,202,257,468
7703,18,123,468
7704,186,219,468
7705,68,192,468
7706,134,143,468
7707,37,91,468
7708,1,276,468
7709,121,203,468
7710,37,43,468
7711,206,237,468
7712,31,116,468
7713,34,88,468
7714,114,268,468
7715,60,267,468
7716,37,135,468
7717,3,92,468
7718,301,322,469
7719,34,88,469
7720,34,175,469
7721,43,132,469
7722,37,135,469
7723,126,236,469
7724,313,314,469
7725,86,130,469
7726,85,112,469
7727,99,228,469
7728,77,267,469
7729,99,249,469
7730,36,180,469
7731,14,260,469
7732,114,268,469
7733,172,181,469
7734,206,237,469
7735,65,190,470
7736,210,220,470
7737,202,257,470
7738,31,116,470
7739,102,106,470
7740,301,322,470
7741,77,267,470
7742,114,268,470
7743,1,179,470
7744,206,207,470
7745,186,219,470
7746,102,112,470
7747,225,259,470
7748,37,135,470
7749,121,203,470
7750,206,237,470
7751,86,130,470
7752,172,181,470
7753,99,249,470
7754,14,260,471
7755,31,116,471
7756,60,267,471
7757,3,146,471
7758,225,259,471
7759,37,43,471
7760,77,267,471
7761,317,318,471
7762,34,175,471
7763,53,130,471
7764,186,219,471
7765,43,132,471
7766,37,91,471
7767,210,220,471
7768,313,314,471
7769,99,249,471
7770,36,180,471
7771,129,135,471
7772,136,212,472
7773,114,239,472
7774,60,267,472
7775,14,260,472
7776,77,267,472
7777,31,116,472
7778,36,180,472
7779,117,239,472
7780,1,179,472
7781,301,322,472
7782,202,257,472
7783,186,219,472
7784,88,122,472
7785,3,146,473
7786,80,93,473
7787,136,212,473
7788,37,135,473
7789,213,261,473
7790,202,261,473
7791,40,274,473
7792,126,236,473
7793,210,220,473
7794,301,322,473
7795,43,132,473
7796,171,228,473
7797,34,175,473
7798,99,249,473
7799,321,325,473
7800,14,260,473
7801,1,179,473
7802,206,237,473
7803,86,130,473
7804,85,131,473
7805,60,267,473
7806,85,258,474
7807,31,116,474
7808,89,141,474
7809,77,267,474
7810,60,267,474
7811,202,257,474
7812,313,314,474
7813,186,219,474
7814,210,220,474
7815,117,239,474
7816,14,260,474
7817,114,268,474
7818,36,180,474
7819,43,132,474
7820,34,175,474
7821,58,192,474
7822,1,276,475
7823,301,322,475
7824,65,190,475
7825,86,130,475
7826,34,175,475
7827,99,249,475
7828,117,239,475
7829,60,267,475
7830,112,258,475
7831,225,259,475
7832,37,135,475
7833,3,146,475
7834,114,117,475
7835,186,219,475
7836,3,92,475
7837,3,146,476
7838,86,130,476
7839,313,314,476
7840,43,132,476
7841,2,53,476
7842,1,276,476
7843,114,268,476
7844,80,93,476
7845,126,236,476
7846,99,249,476
7847,37,135,476
7848,65,190,476
7849,64,104,476
7850,225,259,476
7851,37,43,476
7852,40,274,476
7853,186,219,476
7854,321,325,477
7855,36,180,477
7856,34,175,477
7857,225,259,477
7858,2,53,477
7859,3,146,477
7860,313,314,477
7861,114,268,477
7862,14,260,477
7863,186,219,477
7864,85,258,477
7865,37,135,477
7866,68,192,477
7867,99,249,478
7868,126,236,478
7869,3,146,478
7870,40,274,478
7871,14,260,478
7872,68,192,478
7873,317,318,478
7874,203,265,478
7875,51,162,478
7876,114,268,478
7877,65,190,478
7878,310,312,478
7879,75,145,478
7880,129,135,478
7881,66,73,478
7882,64,104,478
7883,45,62,478
7884,321,325,478
7885,36,180,479
7886,85,258,479
7887,80,93,479
7888,202,226,479
7889,99,249,479
7890,34,175,479
7891,106,112,479
7892,203,265,479
7893,225,259,479
7894,31,116,479
7895,308,310,479
7896,14,260,479
7897,114,268,479
7898,66,73,479
7899,43,132,479
7900,2,264,479
7901,292,310,479
7902,37,135,479
7903,88,122,479
7904,28,36,480
7905,2,264,480
7906,117,239,480
7907,3,92,480
7908,304,321,480
7909,99,249,480
7910,64,104,480
7911,225,259,480
7912,114,268,480
7913,1,179,480
7914,14,260,480
7915,88,122,480
7916,80,93,480
7917,203,265,480
7918,212,219,480
7919,317,318,480
7920,66,73,481
7921,77,267,481
7922,114,268,481
7923,136,212,481
7924,304,321,481
7925,99,249,481
7926,212,219,481
7927,40,274,481
7928,186,212,481
7929,127,264,481
7930,313,314,481
7931,45,62,481
7932,102,106,481
7933,72,132,481
7934,14,260,481
7935,126,236,481
7936,85,258,481
7937,43,132,481
7938,117,239,481
7939,45,79,481
7940,122,200,481
7941,310,312,481
7942,86,130,482
7943,102,106,482
7944,136,212,482
7945,304,321,482
7946,43,132,482
7947,88,122,482
7948,186,219,482
7949,68,192,482
7950,317,318,482
7951,225,259,482
7952,99,249,482
7953,45,62,482
7954,65,190,482
7955,310,312,482
7956,301,322,483
7957,6,253,483
7958,317,318,483
7959,56,202,483
7960,99,249,483
7961,102,106,483
7962,43,132,483
7963,186,219,483
7964,75,95,483
7965,64,104,483
7966,313,314,483
7967,114,268,483
7968,225,259,483
7969,1,276,483
7970,136,212,483
7971,31,116,483
7972,304,321,483
7973,304,321,484
7974,186,219,484
7975,85,258,484
7976,99,249,484
7977,40,274,484
7978,65,190,484
7979,31,36,484
7980,202,257,484
7981,86,130,484
7982,225,259,484
7983,3,92,484
7984,127,264,484
7985,31,116,484
7986,136,212,484
7987,9,10,484
7988,310,312,484
7989,225,259,485
7990,112,191,485
7991,293,313,485
7992,6,253,485
7993,202,257,485
7994,127,264,485
7995,85,258,485
7996,26,248,485
7997,202,213,485
7998,106,112,485
7999,102,112,485
8000,106,191,485
8001,45,79,485
8002,304,321,485
8003,3,92,485
8004,301,322,485
8005,310,312,485
8006,301,322,486
8007,28,36,486
8008,37,135,486
8009,9,10,486
8010,3,92,486
8011,114,268,486
8012,45,79,486
8013,191,258,486
8014,129,135,486
8015,186,219,486
8016,88,122,486
8017,102,112,486
8018,127,264,486
8019,225,259,486
8020,213,261,487
8021,308,310,487
8022,313,314,487
8023,203,265,487
8024,225,259,487
8025,80,93,487
8026,88,122,487
8027,45,79,488
8028,225,259,488
8029,313,314,488
8030,301,322,488
8031,191,258,488
8032,1,179,488
8033,143,149,488
8034,114,268,488
8035,203,265,488
8036,292,315,488
8037,31,116,488
8038,202,257,488
8039,93,160,489
8040,31,116,489
8041,80,93,489
8042,45,79,489
8043,317,318,489
8044,186,219,489
8045,9,170,489
8046,213,261,489
8047,191,258,489
8048,202,257,489
8049,37,135,489
8050,225,259,489
8051,73,208,489
8052,106,112,489
8053,31,116,490
8054,80,93,490
8055,114,268,490
8056,68,192,490
8057,317,318,490
8058,73,208,490
8059,88,122,490
8060,202,257,490
8061,310,312,490
8062,186,219,490
8063,51,162,490
8064,93,160,490
8065,37,135,490
8066,77,267,490
8067,2,264,490
8068,43,132,490
8069,117,239,491
8070,40,274,491
8071,80,93,491
8072,9,170,491
8073,120,162,491
8074,45,79,491
8075,51,162,491
8076,37,135,491
8077,88,122,491
8078,114,268,491
8079,60,267,491
8080,34,88,491
8081,203,265,491
8082,3,146,492
8083,112,191,492
8084,122,200,492
8085,102,112,492
8086,31,116,492
8087,126,236,492
8088,102,106,492
8089,75,95,492
8090,114,268,492
8091,301,322,492
8092,203,265,492
8093,106,112,492
8094,117,239,492
8095,34,88,492
8096,225,259,492
8097,15,210,492
8098,313,314,493
8099,80,93,493
8100,85,258,493
8101,68,192,493
8102,1,179,493
8103,34,88,493
8104,45,79,493
8105,129,260,493
8106,126,236,493
8107,43,132,493
8108,117,239,493
8109,310,312,493
8110,2,264,493
8111,75,95,493
8112,73,208,493
8113,225,259,493
8114,186,219,493
8115,191,258,494
8116,86,130,494
8117,45,79,494
8118,293,313,494
8119,6,253,494
8120,225,259,494
8121,3,146,494
8122,34,88,494
8123,1,179,494
8124,112,191,494
8125,310,312,494
8126,292,308,494
8127,313,314,494
8128,15,210,495
8129,77,267,495
8130,127,264,495
8131,99,249,495
8132,313,314,495
8133,114,268,495
8134,3,92,495
8135,88,122,495
8136,225,259,495
8137,68,192,495
8138,14,260,496
8139,186,219,496
8140,293,313,496
8141,31,116,496
8142,1,179,496
8143,114,268,496
8144,2,53,496
8145,2,264,496
8146,37,135,496
8147,106,112,496
8148,127,264,496
8149,308,310,496
8150,317,318,496
8151,99,249,496
8152,136,212,496
8153,34,88,496
8154,136,212,497
8155,37,135,497
8156,65,190,497
8157,73,208,497
8158,186,219,497
8159,3,18,497
8160,1,179,497
8161,114,268,497
8162,126,236,498
8163,73,208,498
8164,37,135,498
8165,212,219,498
8166,3,18,498
8167,186,212,498
8168,85,258,498
8169,292,308,498
8170,127,264,498
8171,136,212,498
8172,114,268,498
8173,213,261,498
8174,1,179,498
8175,225,259,499
8176,308,310,499
8177,1,179,499
8178,3,146,499
8179,136,212,499
8180,114,268,499
8181,26,248,499
8182,45,79,499
8183,3,92,499
8184,212,219,499
8185,106,112,499
8186,74,249,500
8187,301,322,500
8188,73,208,500
8189,186,219,500
8190,206,207,500
8191,2,264,500
8192,106,112,500
8193,313,314,500
8194,136,212,500
8195,75,145,500
8196,117,239,500
8197,3,92,500
8198,3,18,500
8199,60,267,500
8200,26,248,500
8201,45,79,500
8202,114,268,501
8203,45,79,501
8204,136,212,501
8205,126,236,501
8206,26,248,501
8207,293,313,501
8208,313,314,501
8209,186,219,502
8210,310,312,502
8211,28,36,502
8212,3,92,502
8213,6,253,502
8214,85,258,502
8215,136,212,502
8216,313,314,502
8217,117,239,502
8218,321,325,502
8219,45,79,502
8220,317,318,502
8221,225,259,502
8222,112,191,502
8223,206,207,502
8224,114,268,502
8225,112,191,503
8226,129,135,503
8227,106,112,503
8228,14,260,503
8229,64,104,503
8230,45,79,503
8231,313,314,503
8232,5,126,503
8233,3,92,503
8234,308,315,503
8235,73,208,503
8236,77,267,503
8237,321,325,503
8238,114,268,504
8239,186,219,504
8240,225,259,504
8241,2,53,504
8242,122,200,504
8243,106,112,504
8244,26,248,504
8245,28,36,504
8246,74,249,504
8247,25,66,504
8248,117,239,504
8249,102,106,504
8250,305,313,504
8251,317,318,504
8252,129,260,505
8253,60,267,505
8254,114,268,505
8255,65,190,505
8256,206,207,505
8257,77,267,505
8258,106,112,505
8259,2,53,505
8260,85,258,505
8261,136,186,505
8262,66,73,506
8263,172,181,506
8264,310,312,506
8265,3,92,506
8266,136,212,506
8267,68,192,506
8268,28,36,506
8269,136,219,506
8270,178,180,506
8271,114,268,506
8272,5,126,506
8273,5,236,506
8274,73,208,506
8275,313,314,506
8276,60,267,506
8277,2,53,506
8278,36,180,506
8279,26,248,506
8280,186,219,506
8281,317,318,506
8282,72,129,507
8283,136,212,507
8284,2,53,507
8285,317,318,507
8286,64,104,507
8287,3,146,507
8288,102,106,507
8289,308,315,507
8290,305,325,507
8291,310,312,507
8292,102,112,507
8293,51,162,507
8294,77,267,507
8295,114,268,507
8296,129,135,507
8297,114,268,508
8298,122,200,508
8299,210,220,508
8300,209,279,508
8301,136,219,508
8302,28,36,508
8303,136,186,508
8304,73,208,508
8305,313,314,508
8306,321,325,508
8307,102,106,508
8308,317,318,509
8309,114,268,509
8310,68,192,509
8311,2,264,509
8312,136,186,509
8313,65,190,509
8314,2,53,509
8315,43,132,509
8316,102,106,509
8317,308,315,509
8318,77,267,509
8319,186,219,509
8320,313,314,509
8321,28,36,509
8322,206,207,509
8323,317,318,510
8324,68,192,510
8325,28,36,510
8326,99,249,510
8327,3,92,510
8328,102,106,510
8329,308,315,510
8330,64,104,510
8331,136,212,510
8332,65,190,510
8333,73,208,510
8334,139,178,511
8335,321,325,511
8336,136,212,511
8337,66,91,511
8338,210,220,511
8339,136,186,511
8340,313,314,511
8341,308,315,511
8342,9,170,511
8343,129,135,511
8344,114,133,511
8345,77,267,511
8346,186,219,511
8347,206,207,511
8348,317,318,511
8349,308,315,512
8350,64,104,512
8351,210,220,512
8352,6,253,512
8353,65,190,512
8354,129,135,512
8355,321,325,512
8356,73,208,512
8357,293,313,512
8358,126,236,512
8359,34,88,512
8360,9,170,512
8361,3,146,512
8362,99,249,512
8363,313,314,512
8364,86,130,512
8365,127,264,512
8366,225,259,513
8367,143,229,513
8368,31,116,513
8369,6,253,513
8370,129,135,513
8371,1,276,513
8372,210,220,513
8373,64,104,513
8374,45,79,513
8375,3,146,513
8376,301,322,513
8377,25,66,513
8378,114,133,513
8379,65,190,513
8380,186,219,513
8381,136,212,513
8382,99,249,513
8383,313,314,513
8384,1,179,513
8385,34,88,513
8386,136,186,513
8387,99,249,514
8388,14,72,514
8389,114,133,514
8390,114,268,514
8391,77,267,514
8392,77,267,515
8393,301,322,515
8394,186,219,515
8395,308,315,515
8396,114,133,515
8397,60,267,515
8398,225,259,515
8399,136,212,515
8400,31,116,515
8401,210,220,515
8402,309,321,516
8403,108,137,516
8404,129,135,516
8405,77,267,516
8406,25,66,516
8407,210,220,516
8408,5,131,516
8409,308,315,516
8410,2,264,516
8411,31,116,516
8412,186,219,516
8413,1,276,516
8414,75,145,516
8415,3,146,517
8416,114,268,517
8417,99,249,517
8418,2,264,517
8419,28,36,517
8420,1,179,517
8421,108,137,517
8422,225,259,517
8423,136,212,517
8424,78,131,517
8425,68,192,517
8426,308,315,517
8427,305,313,517
8428,304,309,517
8429,313,314,517
8430,25,66,517
8431,60,267,517
8432,34,228,517
8433,139,178,517
8434,114,133,517
8435,34,88,517
8436,85,258,517
8437,64,104,517
8438,136,212,518
8439,78,131,518
8440,45,62,518
8441,45,79,518
8442,114,133,518
8443,34,88,518
8444,317,318,518
8445,308,315,518
8446,304,309,518
8447,304,321,518
8448,60,267,518
8449,178,180,518
8450,31,116,518
8451,212,219,518
8452,308,315,519
8453,186,219,519
8454,75,145,519
8455,73,208,519
8456,45,79,519
8457,80,93,519
8458,99,249,519
8459,34,88,519
8460,116,159,519
8461,2,53,519
8462,68,192,519
8463,1,276,519
8464,93,160,519
8465,31,116,519
8466,45,62,520
8467,1,179,520
8468,65,190,520
8469,114,133,520
8470,136,212,520
8471,122,200,520
8472,85,258,520
8473,99,249,520
8474,31,116,520
8475,186,219,520
8476,116,159,520
8477,77,267,520
8478,129,135,520
8479,136,186,520
8480,313,314,520
8481,178,180,520
8482,73,208,520
8483,171,228,520
8484,93,160,520
8485,60,267,521
8486,178,180,521
8487,31,116,521
8488,34,88,521
8489,65,190,521
8490,45,62,521
8491,308,315,521
8492,301,322,521
8493,114,268,521
8494,3,146,521
8495,186,219,521
8496,3,92,521
8497,22,131,521
8498,129,135,521
8499,77,267,521
8500,3,146,522
8501,80,93,522
8502,34,175,522
8503,178,180,522
8504,45,79,522
8505,74,116,522
8506,93,160,522
8507,129,135,522
8508,77,267,522
8509,60,267,522
8510,308,315,522
8511,186,219,522
8512,116,159,522
8513,114,133,522
8514,6,253,522
8515,51,162,522
8516,65,190,522
8517,308,315,523
8518,2,264,523
8519,313,314,523
8520,129,135,523
8521,186,219,523
8522,93,160,523
8523,112,131,523
8524,80,93,523
8525,68,192,523
8526,77,267,523
8527,34,175,523
8528,99,249,523
8529,171,228,523
8530,31,116,523
8531,304,321,523
8532,114,268,523
8533,85,112,523
8534,3,146,523
8535,65,190,523
8536,313,314,524
8537,77,267,524
8538,10,170,524
8539,60,267,524
8540,9,170,524
8541,3,146,524
8542,114,133,524
8543,80,93,524
8544,126,131,524
8545,212,219,524
8546,99,249,524
8547,65,190,524
8548,225,259,524
8549,321,325,524
8550,2,53,524
8551,304,321,524
8552,186,219,524
8553,317,318,524
8554,73,208,524
8555,186,219,525
8556,1,179,525
8557,80,93,525
8558,313,314,525
8559,34,88,525
8560,3,92,525
8561,2,264,525
8562,22,131,525
8563,68,192,525
8564,308,315,525
8565,6,253,525
8566,28,36,525
8567,321,325,525
8568,75,145,525
8569,225,259,525
8570,121,203,525
8571,60,267,525
8572,126,131,526
8573,99,249,526
8574,317,318,526
8575,34,175,526
8576,301,322,526
8577,22,131,526
8578,64,104,526
8579,186,219,526
8580,321,325,526
8581,80,180,526
8582,149,154,526
8583,3,146,526
8584,80,93,526
8585,85,258,526
8586,93,160,526
8587,130,184,526
8588,122,200,526
8589,120,162,526
8590,106,112,526
8591,80,93,527
8592,129,135,527
8593,121,203,527
8594,3,146,527
8595,122,200,527
8596,130,184,527
8597,178,180,527
8598,31,116,527
8599,127,264,527
8600,317,318,527
8601,321,325,527
8602,126,131,527
8603,34,175,527
8604,114,268,527
8605,225,259,528
8606,36,180,528
8607,75,145,528
8608,80,93,528
8609,77,267,528
8610,301,322,528
8611,313,314,528
8612,60,267,528
8613,126,131,528
8614,317,318,528
8615,64,104,528
8616,308,315,528
8617,186,219,528
8618,34,88,528
8619,45,62,528
8620,321,325,528
8621,1,60,529
8622,210,220,529
8623,308,315,529
8624,36,180,529
8625,2,264,529
8626,31,116,529
8627,114,268,529
8628,6,253,529
8629,3,146,529
8630,99,228,529
8631,225,259,529
8632,73,208,529
8633,114,133,529
8634,45,62,529
8635,22,131,529
8636,22,126,529
8637,301,322,529
8638,126,131,529
8639,77,267,529
8640,106,112,529
8641,310,315,529
8642,31,116,530
8643,1,179,530
8644,102,191,530
8645,1,77,530
8646,2,53,530
8647,58,86,530
8648,186,219,530
8649,149,154,530
8650,301,322,530
8651,1,60,530
8652,99,228,530
8653,202,257,530
8654,122,200,530
8655,321,325,530
8656,45,79,530
8657,186,219,531
8658,106,112,531
8659,99,228,531
8660,308,315,531
8661,213,261,531
8662,122,200,531
8663,127,264,531
8664,2,127,531
8665,149,154,531
8666,212,280,531
8667,126,131,531
8668,3,146,531
8669,114,268,531
8670,36,180,532
8671,149,154,532
8672,308,315,532
8673,34,88,532
8674,68,192,532
8675,77,267,532
8676,35,177,532
8677,143,229,532
8678,228,238,532
8679,60,267,532
8680,2,264,532
8681,114,133,532
8682,3,146,532
8683,310,312,532
8684,64,137,532
8685,102,191,532
8686,149,154,533
8687,58,86,533
8688,85,258,533
8689,186,219,533
8690,34,88,533
8691,228,238,533
8692,202,257,533
8693,308,315,533
8694,114,133,533
8695,178,180,533
8696,310,312,533
8697,77,267,533
8698,304,321,533
8699,65,190,533
8700,126,131,533
8701,102,106,533
8702,313,314,533
8703,321,325,533
8704,86,130,534
8705,88,122,534
8706,75,145,534
8707,293,313,534
8708,36,180,534
8709,225,259,534
8710,114,268,534
8711,114,133,534
8712,308,315,534
8713,1,179,534
8714,99,228,534
8715,309,323,534
8716,301,322,534
8717,321,325,534
8718,77,267,534
8719,2,127,534
8720,313,314,534
8721,321,325,535
8722,106,112,535
8723,34,175,535
8724,2,264,535
8725,14,260,535
8726,186,219,535
8727,36,180,535
8728,64,104,535
8729,75,145,535
8730,301,322,535
8731,73,208,535
8732,149,154,535
8733,35,177,535
8734,43,132,535
8735,142,278,535
8736,37,91,535
8737,9,170,535
8738,60,267,535
8739,313,314,535
8740,114,133,535
8741,68,192,535
8742,225,259,535
8743,114,268,536
8744,60,267,536
8745,99,228,536
8746,68,192,536
8747,73,208,536
8748,25,66,536
8749,210,220,536
8750,308,315,536
8751,58,86,536
8752,106,112,536
8753,3,146,536
8754,186,219,536
8755,29,279,536
8756,178,180,536
8757,75,145,536
8758,321,325,536
8759,149,154,536
8760,28,36,536
8761,36,180,536
8762,301,322,536
8763,34,175,537
8764,225,259,537
8765,186,219,537
8766,2,53,537
8767,143,229,537
8768,210,220,537
8769,102,191,537
8770,178,180,537
8771,2,264,537
8772,58,86,537
8773,131,236,537
8774,321,325,537
8775,301,322,537
8776,308,315,537
8777,149,154,537
8778,14,260,537
8779,114,133,537
8780,114,268,537
8781,58,86,538
8782,114,268,538
8783,122,200,538
8784,301,322,538
8785,34,175,538
8786,149,154,538
8787,37,135,538
8788,3,146,538
8789,29,279,538
8790,25,66,538
8791,35,204,538
8792,2,53,538
8793,310,312,538
8794,75,145,538
8795,68,86,538
8796,43,132,538
8797,35,177,538
8798,1,276,539
8799,37,91,539
8800,130,184,539
8801,2,127,539
8802,129,135,539
8803,2,264,539
8804,86,130,539
8805,3,146,539
8806,2,53,539
8807,35,177,539
8808,29,279,539
8809,186,219,539
8810,122,200,539
8811,91,135,539
8812,114,133,539
8813,85,258,539
8814,28,36,539
8815,310,315,539
8816,35,204,539
8817,60,77,539
8818,308,315,539
8819,143,229,539
8820,34,175,540
8821,1,276,540
8822,2,53,540
8823,58,86,540
8824,86,130,540
8825,313,314,540
8826,88,122,540
8827,91,129,540
8828,301,322,540
8829,31,116,540
8830,321,325,540
8831,310,312,540
8832,64,104,540
8833,304,309,540
8834,68,192,540
8835,3,146,540
8836,143,229,540
8837,29,221,540
8838,143,149,540
8839,37,135,540
8840,28,36,541
8841,106,112,541
8842,126,131,541
8843,143,229,541
8844,310,315,541
8845,308,315,541
8846,1,276,541
8847,73,208,541
8848,36,180,541
8849,225,259,541
8850,310,312,541
8851,22,236,541
8852,31,116,541
8853,2,53,541
8854,86,130,541
8855,313,314,541
8856,91,129,541
8857,2,264,541
8858,28,36,542
8859,308,315,542
8860,134,170,542
8861,3,146,542
8862,99,228,542
8863,73,208,542
8864,37,135,542
8865,114,268,542
8866,106,112,542
8867,186,219,542
8868,127,264,542
8869,225,259,542
8870,2,53,542
8871,36,180,542
8872,37,129,542
8873,37,72,542
8874,66,73,542
8875,37,132,543
8876,202,257,543
8877,10,170,543
8878,313,314,543
8879,37,129,543
8880,134,170,543
8881,126,131,543
8882,228,238,543
8883,29,279,543
8884,308,315,543
8885,66,73,543
8886,130,184,543
8887,3,146,544
8888,186,219,544
8889,37,132,544
8890,114,133,544
8891,37,43,544
8892,43,132,544
8893,228,238,544
8894,308,315,544
8895,28,36,544
8896,36,180,544
8897,133,284,544
8898,45,79,544
8899,80,93,544
8900,98,241,544
8901,186,219,545
8902,3,92,545
8903,308,315,545
8904,101,111,545
8905,37,132,545
8906,31,116,545
8907,134,170,545
8908,127,264,545
8909,22,236,545
8910,44,50,545
8911,99,228,545
8912,133,284,545
8913,3,146,545
8914,22,126,545
8915,60,276,545
8916,43,135,545
8917,75,145,545
8918,34,175,546
8919,186,219,546
8920,43,135,546
8921,22,131,546
8922,58,86,546
8923,292,308,546
8924,106,112,546
8925,136,186,546
8926,44,50,546
8927,36,180,546
8928,130,184,546
8929,126,131,546
8930,3,146,546
8931,101,111,546
8932,75,145,546
8933,313,314,546
8934,37,129,546
8935,127,264,546
8936,44,50,547
8937,73,208,547
8938,36,180,547
8939,133,284,547
8940,31,116,547
8941,37,132,547
8942,186,219,547
8943,43,135,547
8944,292,308,547
8945,193,218,547
8946,136,219,547
8947,308,315,547
8948,206,207,547
8949,304,309,547
8950,14,260,547
8951,127,264,547
8952,99,228,547
8953,50,76,548
8954,43,132,548
8955,44,218,548
8956,127,264,548
8957,130,184,548
8958,210,220,548
8959,126,131,548
8960,309,321,548
8961,31,116,548
8962,114,268,548
8963,321,325,548
8964,37,129,548
8965,45,62,548
8966,34,175,548
8967,133,284,548
8968,317,318,549
8969,34,175,549
8970,3,146,549
8971,76,193,549
8972,1,276,549
8973,50,76,549
8974,114,133,549
8975,21,98,549
8976,68,192,549
8977,186,219,549
8978,133,284,549
8979,308,315,549
8980,50,193,549
8981,37,129,549
8982,44,193,549
8983,210,220,549
8984,98,241,549
8985,1,179,549
8986,321,325,549
8987,44,76,549
8988,313,314,549
8989,31,116,549
8990,43,132,549
8991,74,116,550
8992,3,146,550
8993,76,193,550
8994,321,325,550
8995,25,66,550
8996,44,193,550
8997,114,239,550
8998,45,62,550
8999,1,276,550
9000,68,192,550
9001,210,220,550
9002,44,50,550
9003,2,264,550
9004,127,264,550
9005,313,314,550
9006,317,318,550
9007,309,321,550
9008,50,76,550
9009,50,193,550
9010,114,268,550
9011,304,309,550
9012,130,184,551
9013,101,111,551
9014,317,318,551
9015,186,219,551
9016,43,132,551
9017,308,315,551
9018,58,68,551
9019,321,325,551
9020,147,216,551
9021,74,116,551
9022,9,170,551
9023,9,10,551
9024,28,36,551
9025,313,314,551
9026,304,309,551
9027,147,216,552
9028,210,220,552
9029,76,218,552
9030,127,264,552
9031,44,218,552
9032,43,132,552
9033,3,146,552
9034,186,212,552
9035,76,193,552
9036,44,193,552
9037,21,241,552
9038,186,219,552
9039,186,280,552
9040,74,116,552
9041,313,314,552
9042,308,315,552
9043,27,46,552
9044,136,219,552
9045,292,308,552
9046,101,111,553
9047,85,258,553
9048,147,216,553
9049,1,276,553
9050,43,132,553
